Date,Value
2010-09-30,12100.0
2010-10-31,10000.0
2010-11-30,10000.0
2010-12-31,10000.0
2011-01-31,10000.0
2011-02-28,10000.0
2011-03-31,10000.0
2011-04-30,10000.0
2011-05-31,10000.0
2011-06-30,10000.0
2011-07-31,10000.0
2011-08-31,10000.0
2011-09-30,10000.0
2011-10-31,10000.0
2011-11-30,10000.0
2011-12-31,10000.0
2012-01-31,10000.0
2012-02-29,10000.0
2012-03-31,10000.0
2012-04-30,10000.0
2012-05-31,10000.0
2012-06-30,10000.0
2012-07-31,10000.0
2012-08-31,10000.0
2012-09-30,10000.0
2012-10-31,10000.0
2012-11-30,10000.0
2012-12-31,10000.0
2013-01-31,10000.0
2013-02-28,10000.0
2013-03-31,10000.0
2013-04-30,10000.0
2013-05-31,10000.0
2013-06-30,10000.0
2013-07-31,10000.0
2013-08-31,10000.0
2013-09-30,10000.0
2013-10-31,10000.0
2013-11-30,10000.0
2013-12-31,10000.0
2014-01-31,10000.0
2014-02-28,10000.0
2014-03-31,10000.0
2014-04-30,10000.0
2014-05-31,10000.0
2014-06-30,10000.0
2014-07-31,10000.0
2014-08-31,10000.0
2014-09-30,10000.0
2014-10-31,10000.0
2014-11-30,10000.0
2014-12-31,10000.0
2015-01-31,10000.0
2015-02-28,10000.0
2015-03-31,10000.0
2015-04-30,10100.0
2015-05-31,11000.0
2015-06-30,10100.0
2015-07-31,10100.0
2015-08-31,10000.0
2015-09-30,10100.0
2015-10-31,10000.0
2015-11-30,10000.0
2015-12-31,10000.0
2016-01-31,10000.0
2016-02-29,10000.0
2016-03-31,12750.0
2016-04-30,14900.0
2016-05-31,15000.0
2016-06-30,15000.0
2016-07-31,14900.0
2016-08-31,12700.0
2016-09-30,15000.0
2016-10-31,12000.0
2016-11-30,10290.0
2016-12-31,10000.0
2017-01-31,10900.0
2017-02-28,10100.0
2017-03-31,15000.0
2017-04-30,16000.0
2017-05-31,16000.0
2017-06-30,15000.0
2017-07-31,15000.0
2017-08-31,11000.0
2017-09-30,15000.0
2017-10-31,15000.0
2017-11-30,11150.0
2017-12-31,10000.0
2018-01-31,10900.0
2018-02-28,14000.0
2018-03-31,15000.0
2018-04-30,19100.0
2018-05-31,19901.0
2018-06-30,15400.0
2018-07-31,15000.0
2018-08-31,14000.0
2018-09-30,15000.0
2018-10-31,15000.0
2018-11-30,12000.0
2018-12-31,10100.0
2019-01-31,10100.0
2019-02-28,13000.0
2019-03-31,15000.0
2019-04-30,19001.0
